Family	number	species	class
Metabolic pathways	80	CK1-VS-CK2	Pathway
Phenylalanine metabolism	10	CK1-VS-CK2	Pathway
Phenylpropanoid biosynthesis	12	CK1-VS-CK2	Pathway
Glycerolipid metabolism	9	CK1-VS-CK2	Pathway
Brassinosteroid biosynthesis	4	CK1-VS-CK2	Pathway
Glycerophospholipid metabolism	9	CK1-VS-CK2	Pathway
Biosynthesis of secondary metabolites	37	CK1-VS-CK2	Pathway
Flavone and flavonol biosynthesis	2	CK1-VS-CK2	Pathway
Flavonoid biosynthesis	3	CK1-VS-CK2	Pathway
Purine metabolism	11	CK1-VS-CK2	Pathway
Vitamin B6 metabolism	2	CK1-VS-CK2	Pathway
Stilbenoid, diarylheptanoid and gingerol biosynthesis	3	CK1-VS-CK2	Pathway
Photosynthesis	5	CK1-VS-CK2	Pathway
Ether lipid metabolism	4	CK1-VS-CK2	Pathway
RNA polymerase	4	CK1-VS-CK2	Pathway
alpha-Linolenic acid metabolism	5	CK1-VS-CK2	Pathway
Tryptophan metabolism	3	CK1-VS-CK2	Pathway
Phenylpropanoid biosynthesis	40	CK1-VS-T1	Pathway
Phenylalanine metabolism	23	CK1-VS-T1	Pathway
Stilbenoid, diarylheptanoid and gingerol biosynthesis	11	CK1-VS-T1	Pathway
Starch and sucrose metabolism	49	CK1-VS-T1	Pathway
Plant hormone signal transduction	48	CK1-VS-T1	Pathway
Circadian rhythm - plant	14	CK1-VS-T1	Pathway
Biosynthesis of secondary metabolites	182	CK1-VS-T1	Pathway
Purine metabolism	47	CK1-VS-T1	Pathway
alpha-Linolenic acid metabolism	20	CK1-VS-T1	Pathway
Flavonoid biosynthesis	8	CK1-VS-T1	Pathway
Cysteine and methionine metabolism	22	CK1-VS-T1	Pathway
Pentose and glucuronate interconversions	11	CK1-VS-T1	Pathway
Carotenoid biosynthesis	10	CK1-VS-T1	Pathway
Metabolic pathways	344	CK1-VS-T1	Pathway
Biosynthesis of unsaturated fatty acids	10	CK1-VS-T1	Pathway
Phenylalanine, tyrosine and tryptophan biosynthesis	14	CK1-VS-T1	Pathway
Base excision repair	14	CK1-VS-T1	Pathway
Pyrimidine metabolism	35	CK1-VS-T1	Pathway
Galactose metabolism	16	CK1-VS-T1	Pathway
Metabolic pathways	374	CK2-VS-T2	Pathway
Phenylpropanoid biosynthesis	37	CK2-VS-T2	Pathway
Biosynthesis of secondary metabolites	193	CK2-VS-T2	Pathway
Starch and sucrose metabolism	53	CK2-VS-T2	Pathway
Stilbenoid, diarylheptanoid and gingerol biosynthesis	11	CK2-VS-T2	Pathway
Phenylalanine metabolism	21	CK2-VS-T2	Pathway
alpha-Linolenic acid metabolism	22	CK2-VS-T2	Pathway
Arginine and proline metabolism	22	CK2-VS-T2	Pathway
Flavonoid biosynthesis	9	CK2-VS-T2	Pathway
Circadian rhythm - plant	13	CK2-VS-T2	Pathway
Amino sugar and nucleotide sugar metabolism	35	CK2-VS-T2	Pathway
Ascorbate and aldarate metabolism	13	CK2-VS-T2	Pathway
Base excision repair	15	CK2-VS-T2	Pathway
Purine metabolism	43	CK2-VS-T2	Pathway
Plant hormone signal transduction	41	CK2-VS-T2	Pathway
Pyrimidine metabolism	35	CK2-VS-T2	Pathway
Limonene and pinene degradation	7	CK2-VS-T2	Pathway
Cyanoamino acid metabolism	13	CK2-VS-T2	Pathway
Plant-pathogen interaction	33	CK2-VS-T2	Pathway
Nitrogen metabolism	12	CK2-VS-T2	Pathway
Photosynthesis	15	CK2-VS-T2	Pathway
Glycerolipid metabolism	15	CK2-VS-T2	Pathway
Biosynthesis of unsaturated fatty acids	9	CK2-VS-T2	Pathway
Alanine, aspartate and glutamate metabolism	14	CK2-VS-T2	Pathway
Glutathione metabolism	18	CK2-VS-T2	Pathway
Phenylpropanoid biosynthesis	16	T1-VS-T2	Pathway
Biosynthesis of secondary metabolites	57	T1-VS-T2	Pathway
Starch and sucrose metabolism	19	T1-VS-T2	Pathway
Pentose and glucuronate interconversions	8	T1-VS-T2	Pathway
Nitrogen metabolism	9	T1-VS-T2	Pathway
Metabolic pathways	89	T1-VS-T2	Pathway
Alanine, aspartate and glutamate metabolism	9	T1-VS-T2	Pathway
Phenylalanine metabolism	9	T1-VS-T2	Pathway
Tryptophan metabolism	6	T1-VS-T2	Pathway
Plant-pathogen interaction	14	T1-VS-T2	Pathway
Glutathione metabolism	9	T1-VS-T2	Pathway
Lysine degradation	4	T1-VS-T2	Pathway
Biosynthesis of unsaturated fatty acids	5	T1-VS-T2	Pathway
Photosynthesis	7	T1-VS-T2	Pathway
Isoquinoline alkaloid biosynthesis	3	T1-VS-T2	Pathway
Galactose metabolism	6	T1-VS-T2	Pathway
Cyanoamino acid metabolism	5	T1-VS-T2	Pathway
Tyrosine metabolism	4	T1-VS-T2	Pathway
Ascorbate and aldarate metabolism	4	T1-VS-T2	Pathway
Glycerolipid metabolism	5	T1-VS-T2	Pathway
Linoleic acid metabolism	3	T1-VS-T2	Pathway
