Family	number	species	class
Metabolic pathways	80	CK1-VS-CK2	Pathway
Phenylalanine metabolism	10	CK1-VS-CK2	Pathway
Phenylpropanoid biosynthesis	12	CK1-VS-CK2	Pathway
Glycerolipid metabolism	9	CK1-VS-CK2	Pathway
Brassinosteroid biosynthesis	4	CK1-VS-CK2	Pathway
Glycerophospholipid metabolism	9	CK1-VS-CK2	Pathway
Phenylpropanoid biosynthesis	40	CK1-VS-T1	Pathway
Phenylalanine metabolism	23	CK1-VS-T1	Pathway
Stilbenoid, diarylheptanoid and gingerol biosynthesis	11	CK1-VS-T1	Pathway
Starch and sucrose metabolism	49	CK1-VS-T1	Pathway
Plant hormone signal transduction	48	CK1-VS-T1	Pathway
Circadian rhythm - plant	14	CK1-VS-T1	Pathway
Metabolic pathways	374	CK2-VS-T2	Pathway
Phenylpropanoid biosynthesis	37	CK2-VS-T2	Pathway
Biosynthesis of secondary metabolites	193	CK2-VS-T2	Pathway
Starch and sucrose metabolism	53	CK2-VS-T2	Pathway
Stilbenoid, diarylheptanoid and gingerol biosynthesis	11	CK2-VS-T2	Pathway
Phenylalanine metabolism	21	CK2-VS-T2	Pathway
alpha-Linolenic acid metabolism	22	CK2-VS-T2	Pathway
Arginine and proline metabolism	22	CK2-VS-T2	Pathway
Flavonoid biosynthesis	9	CK2-VS-T2	Pathway
Circadian rhythm - plant	13	CK2-VS-T2	Pathway
Amino sugar and nucleotide sugar metabolism	35	CK2-VS-T2	Pathway
Phenylpropanoid biosynthesis	16	T1-VS-T2	Pathway
Biosynthesis of secondary metabolites	57	T1-VS-T2	Pathway
Starch and sucrose metabolism	19	T1-VS-T2	Pathway
Pentose and glucuronate interconversions	8	T1-VS-T2	Pathway
Nitrogen metabolism	9	T1-VS-T2	Pathway
Metabolic pathways	89	T1-VS-T2	Pathway
Alanine, aspartate and glutamate metabolism	9	T1-VS-T2	Pathway
Phenylalanine metabolism	9	T1-VS-T2	Pathway
Tryptophan metabolism	6	T1-VS-T2	Pathway
Plant-pathogen interaction	14	T1-VS-T2	Pathway
Glutathione metabolism	9	T1-VS-T2	Pathway
Lysine degradation	4	T1-VS-T2	Pathway
Biosynthesis of unsaturated fatty acids	5	T1-VS-T2	Pathway
Photosynthesis	7	T1-VS-T2	Pathway
Isoquinoline alkaloid biosynthesis	3	T1-VS-T2	Pathway
